Parameter association,Name,Value,Units,,,,,,,,,,,
tracing,Contact tracing capacity,250,people/day,,,,,,,,,,,
tracing,Tracing quarantine duration,14,days,,,,,,,,,,,
testing,Symptomatic test probability (daily),0.2,,,,,,,,,,,,
testing,Asymptomatic test probability (daily),0.002,,,,,,,,,,,,
testing,"Symptomatic test probability (daily, quarantined)",0.25,,,,,,,,,,,,
testing,"Asymptomatic test probability (daily, quarantined)",0.01,,,,,,,,,,,,
testing,Test sensitivity,0.7,,,,,,,,,,,,
testing,Test delay,1,days,,,,,,,,,,,
quarantine,Quarantine while waiting for results,Yes,,,,,,,,,,,,
quarantine,Test quarantine compliance,0.9,,,,,,,,,,,,
population,Typical number of agents,1.00E+05,,,,,,,,,,,,
transmissibility,Beta (global transmission probability per contact mean),0.05628,,,,,,,,,,,,
transmissibility,Beta (global transmission probability per contact stdev),0.00204,,,,,,,,,,,,
population,Dynamic rescaling,No,,,,,,,,,,,,
population,Rescale threshold,not applicable,,,,,,,,,,,,
 ,Rescale factor,not applicable,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Layer,Mean contacts,Relative transmission probability,Quarantine effect,Isolation factor,Population proportion,Lower age,Upper age,Clustered,Contact tracing probability,Contact tracing time,Dispersion,,
layer,Household, ,1,1,0.2,1,0,110,Y,1,0,,,
layer,Aged care, ,0.6,0.2,0.2,0.07,65,110,Y,0.95,1,,,
layer,Schools, ,0.247,0.01,0.01,1,5,18,Y,0.95,1,,,
layer,Work, ,0.282,0.1,0.1,1,18,65,Y,0.8,1,,,
layer,Church, ,0.043,0.01,0.01,0.11,0,110,Y,0.5,1,,,
layer,Community sport, ,0.071,0,0,0.34,4,30,Y,0.25,1,,,
layer,Childcare, ,0.274,0.01,0.01,0.545,1,6,Y,0.95,1,,,
layer,Community, ,0.1,0.2,0.2,1,0,110,N,0.05,1,,,
layer,Social, ,0.124,0.5,0.2,1,15,110,N,0.5,1,2,,
layer,Entertainment,    ,0.008,0,0,0.3,15,110,N,0.25,1,,,
layer,Cafes/Restaurants, ,0.043,0,0,0.6,18,110,N,0.25,1,,,
layer,Pub/bar, ,0.057,0,0,0.4,18,110,N,0.25,1,,,
layer,Transport, ,0.164,0.01,0.01,0.114,15,110,N,0.01,1,,,
layer,Public parks, ,0.028,0,0,0.6,0,110,N,0.01,1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Prognoses,,,,,,,,,,,,,
agent,Age cutoff,0,6,13,16,20,30,40,50,60,65,70,80,90
agent,Relative susceptibility OR,0.34,0.34,0.34,1,1,1,1,1,1,1.47,1.47,1.47,1.47
agent,Relative transmissibility OR,1,1,1,1,1,1,1,1,1,1,1,1,1
agent,Comorbidities,1,1,1,1,1,1,1,1,1,1,1,1,1
agent,Overall probability symptomatic,0.55,0.55,0.65,0.7,0.77,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.8
agent,Overall probability severe,0.0005,0.0005,0.00165,0.00165,0.0072,0.0208,0.0343,0.0765,0.1328,0.1328,0.20655,0.2457,0.2457
agent,Overall probability critical,3E-05,3E-05,8E-05,8E-05,0.00036,0.00104,0.00216,0.00933,0.03639,0.03639,0.08923,0.1742,0.1742
agent,Overall probability death,2E-05,2E-05,6E-05,6E-05,0.0003,0.0008,0.0015,0.006,0.022,0.022,0.022,0.051,0.093
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
simulator,version,1.6.1,,,,,,,,,,,,
